year_of_survey,verbatim:_reasons_for_their_satisfaction_ratingss,verbatim:_suggested_areas_of_improvement
2020,The journeys are smooth and not too long so there’s little room for error,Some drivers may be a bit reckless with their driver and old people who usually take 273 may stumble a little
2020,very comfortable - high frequency -,higher frequency during rush hours
2020,They are trying...they should keep it up,They should improve on their app
2020,their service was satisfactory to me,they should improve on their speed
2020,My past experience is awesome,Nothing
2020,I like their service. Am comfortable with it.,"I think from my experience now, they are good"
2020,good time response,more fast service
2020,Suitable and reliable services,Changing of the price
2020,Availability,Car model
2020,"I ride the bus a lot, everyday 3 to 10 times a day and I did not have any complaints so far",ease on the brakes
2020,I use it often so i feel they are good,Nothing
2020,Comfortably,Good customer service
2020,It fullfills my requirement with a great extent.,It should increase it's number of buses.
2020,The operator is very helpful and ensures the safety of all the passengers before he starts the bus,The bus operator can consider having more double decker buses to control the crowd in the peak hours
2020,easily available and short waiting time,cleanliness
2020,satisfied with service and nothing to complaint,speed a little faster
2020,Too crowded in the morning,Frequency of trains and cleanliness of the toilets
2020,iys easy to use,They Should enable USSD  for booking taxi
2020,I rated some how due to some reasons such as the driver friendliness and smooth ride. And rated some low because of the excess waiting time,The waiting time. It is too long
2020,The customer service is great. The price of the fare is well regulated and also the transportation is smooth and comfortable. It is easy to board the bus and more so the drivers are very reliable,The operator can improve in the way the bus is been booked and board
2020,They are very good,The overall services
2020,They are superb and excellent,Pre order booking
2020,Easy to get a taxi through Grab,Maintain pricing
2020,"According to my personal experience, SMRT Taxis have been offering great affordable services and they are also improving to deliver services better.",they can improving on ensuring that services are delivered to the best taste of the customers.
2020,"It is relatively clean, good and reliable service and have enough trains. The fare is getting a little bit too expensive and many areas are really hot without air-con","Sometime when staff takes over their shift, they tend to spend too much time chatting with another- train delay. More air cons and maybe free wifi on the train as well"
2020,This is the bus that I frequently travel for my work and I did not encounter any problem.,Nothing
2020,I think that the driver is good,Maybe their fares
2020,I enjoyed there service. I was very satisfied with there service,Cleanness of there car
2020,They provide a very good service for the circle line and i have nothing to complain about. The underground in London is far worse,have more trains available during peak hours
2020,Nice,Yes
2020,Is faster,Nothing
2020,Smooth journey,
2020,"For the number of times I've been fortunate to be conveyed on bus number 52, I've not had any reason to give him ratings lower than this","Speed, lol ... For me, he is perfect the way he is"
